track_id,start_frame,start_x,start_y,start_time,end_frame,end_x,end_y,end_time,direction,crossed_line,total_frames
1,1,500,185,12:41:48.974,113,586,346,12:41:54.015,IN,True,112
2,1,493,132,12:41:48.990,50,523,191,12:41:51.171,IN,True,49
3,1,396,338,12:41:48.990,313,354,37,12:42:02.777,OUT,True,312
4,1,234,250,12:41:48.990,245,235,17,12:41:59.770,UNKNOWN,False,244
5,1,261,178,12:41:48.990,223,249,14,12:41:58.804,UNKNOWN,False,222
6,1,606,69,12:41:48.990,87,634,131,12:41:52.839,UNKNOWN,False,86
7,1,488,265,12:41:48.990,82,379,295,12:41:52.607,IN,True,81
8,1,245,103,12:41:48.990,103,243,30,12:41:53.559,UNKNOWN,False,102
9,1,409,65,12:41:48.990,81,399,20,12:41:52.561,UNKNOWN,False,80
10,1,97,174,12:41:48.990,128,35,350,12:41:54.672,IN,True,127
11,1,370,32,12:41:48.990,280,424,299,12:42:01.311,IN,True,279
12,1,76,34,12:41:48.990,66,138,11,12:41:51.858,UNKNOWN,False,65
13,1,578,60,12:41:48.990,10,577,77,12:41:49.377,UNKNOWN,False,9
14,1,396,71,12:41:48.990,52,391,42,12:41:51.259,UNKNOWN,False,51
15,1,566,24,12:41:48.991,53,572,43,12:41:51.294,UNKNOWN,False,52
16,1,291,44,12:41:48.991,82,294,37,12:41:52.607,UNKNOWN,False,81
17,1,303,50,12:41:48.991,21,309,43,12:41:49.863,UNKNOWN,False,20
18,1,273,46,12:41:48.991,203,280,16,12:41:57.926,UNKNOWN,False,202
19,1,544,23,12:41:48.991,89,575,30,12:41:52.918,UNKNOWN,False,88
20,1,199,110,12:41:48.991,30,202,131,12:41:50.274,OUT,True,29
21,1,317,80,12:41:48.991,264,336,348,12:42:00.600,IN,True,263
22,1,38,63,12:41:48.991,63,34,58,12:41:51.741,UNKNOWN,False,62
23,1,249,18,12:41:48.991,15,248,14,12:41:49.598,UNKNOWN,False,14
24,1,124,23,12:41:48.991,38,142,13,12:41:50.636,UNKNOWN,False,37
25,1,532,23,12:41:48.991,89,560,37,12:41:52.918,UNKNOWN,False,88
26,1,440,19,12:41:48.992,25,439,16,12:41:50.041,UNKNOWN,False,24
27,1,27,296,12:41:48.992,9,30,299,12:41:49.335,IN,True,8
28,1,336,55,12:41:48.992,35,338,73,12:41:50.492,IN,True,34
29,1,627,259,12:41:48.992,305,479,13,12:42:02.419,UNKNOWN,False,304
30,1,581,55,12:41:48.992,2,581,55,12:41:49.064,UNKNOWN,False,1
31,3,585,43,12:41:49.104,8,586,50,12:41:49.289,UNKNOWN,False,5
32,6,123,188,12:41:49.220,311,120,176,12:42:02.704,UNKNOWN,False,305
33,7,141,194,12:41:49.253,16,141,192,12:41:49.647,UNKNOWN,False,9
34,7,471,30,12:41:49.253,,,,,UNKNOWN,False,
35,8,160,191,12:41:49.289,14,161,191,12:41:49.553,UNKNOWN,False,6
36,13,199,87,12:41:49.505,23,199,92,12:41:49.962,IN,True,10
37,15,393,177,12:41:49.598,16,393,177,12:41:49.647,UNKNOWN,False,1
38,19,589,50,12:41:49.775,24,589,53,12:41:49.998,UNKNOWN,False,5
40,24,569,22,12:41:49.998,27,569,23,12:41:50.134,UNKNOWN,False,3
39,24,634,55,12:41:49.998,33,634,58,12:41:50.406,UNKNOWN,False,9
41,39,5,50,12:41:50.682,60,20,39,12:41:51.606,UNKNOWN,False,21
42,41,113,8,12:41:50.774,43,114,11,12:41:50.873,UNKNOWN,False,2
43,41,590,64,12:41:50.774,216,631,257,12:41:58.511,UNKNOWN,False,175
44,43,365,347,12:41:50.873,289,350,67,12:42:01.697,OUT,True,246
45,45,459,17,12:41:50.964,67,452,17,12:41:51.903,UNKNOWN,False,22
46,50,151,11,12:41:51.171,53,151,10,12:41:51.294,UNKNOWN,False,3
47,51,572,34,12:41:51.216,53,572,33,12:41:51.294,UNKNOWN,False,2
48,52,307,24,12:41:51.259,83,310,34,12:41:52.653,UNKNOWN,False,31
49,55,141,196,12:41:51.387,84,141,192,12:41:52.703,UNKNOWN,False,29
50,61,31,50,12:41:51.657,62,31,50,12:41:51.700,UNKNOWN,False,1
51,64,88,9,12:41:51.776,74,88,10,12:41:52.232,UNKNOWN,False,10
52,67,3,196,12:41:51.903,207,92,351,12:41:58.098,IN,True,140
53,67,398,276,12:41:51.903,68,398,276,12:41:51.949,IN,True,1
54,69,405,350,12:41:52.000,,,,,OUT,True,
55,75,235,350,12:41:52.281,,,,,OUT,True,
56,77,632,76,12:41:52.373,87,632,81,12:41:52.839,UNKNOWN,False,10
57,79,49,35,12:41:52.467,104,78,34,12:41:53.605,UNKNOWN,False,25
58,123,97,28,12:41:54.436,197,180,22,12:41:57.663,UNKNOWN,False,74
59,125,591,43,12:41:54.530,136,597,43,12:41:54.999,UNKNOWN,False,11
60,130,157,184,12:41:54.764,173,160,184,12:41:56.613,UNKNOWN,False,43
61,143,464,26,12:41:55.328,146,465,31,12:41:55.439,UNKNOWN,False,3
62,162,4,213,12:41:56.127,268,96,345,12:42:00.775,IN,True,106
63,191,269,349,12:41:57.383,,,,,OUT,True,
64,200,319,17,12:41:57.787,,,,,UNKNOWN,False,
65,214,134,184,12:41:58.416,229,134,183,12:41:59.084,UNKNOWN,False,15
67,224,339,25,12:41:58.853,229,339,26,12:41:59.084,UNKNOWN,False,5
66,224,144,184,12:41:58.853,234,143,184,12:41:59.290,UNKNOWN,False,10
69,251,475,344,12:42:00.043,276,427,316,12:42:01.134,OUT,True,25
68,251,629,79,12:42:00.043,253,629,79,12:42:00.132,UNKNOWN,False,2
70,258,411,11,12:42:00.351,291,410,12,12:42:01.792,UNKNOWN,False,33
71,260,515,346,12:42:00.444,,,,,IN,True,
72,260,618,54,12:42:00.444,264,614,58,12:42:00.600,UNKNOWN,False,4
73,267,635,47,12:42:00.729,269,635,47,12:42:00.822,UNKNOWN,False,2
74,268,599,176,12:42:00.774,274,597,182,12:42:01.059,UNKNOWN,False,6
75,269,604,53,12:42:00.821,273,597,54,12:42:01.007,UNKNOWN,False,4
76,272,601,53,12:42:00.960,274,599,53,12:42:01.059,UNKNOWN,False,2
78,280,632,69,12:42:01.311,287,631,60,12:42:01.620,UNKNOWN,False,7
79,280,5,114,12:42:01.311,,,,,UNKNOWN,False,
77,280,630,109,12:42:01.311,292,632,113,12:42:01.824,UNKNOWN,False,12
80,293,401,289,12:42:01.873,300,392,279,12:42:02.199,UNKNOWN,False,7
81,295,497,349,12:42:01.963,,,,,OUT,True,
82,306,12,232,12:42:02.466,309,13,234,12:42:02.607,UNKNOWN,False,3
83,308,523,267,12:42:02.558,309,523,267,12:42:02.607,UNKNOWN,False,1
84,309,571,37,12:42:02.607,,,,,UNKNOWN,False,
85,310,623,55,12:42:02.656,311,623,55,12:42:02.704,UNKNOWN,False,1
86,310,472,26,12:42:02.657,314,471,25,12:42:02.824,UNKNOWN,False,4
87,312,354,27,12:42:02.746,317,354,22,12:42:02.967,UNKNOWN,False,5
